model,strategy,corruption,severity,seed,accuracy,precision,recall,f1,roc_auc,epochs_run,best_epoch,lr,augment
BaselineCNN,robust,none,0.0,43,0.94855,0.950035115882412,0.9469,0.9484649671958733,0.988949785,19,14,0.001,True
BaselineCNN,robust,noise,0.04,43,0.94665,0.9532217148655504,0.9394,0.9462603878116344,0.98838636,19,14,0.001,True
BaselineCNN,robust,noise,0.06,43,0.9439,0.9529591836734694,0.9339,0.9433333333333334,0.9871693,19,14,0.001,True
BaselineCNN,robust,noise,0.08,43,0.94035,0.9500255493101686,0.9296,0.9397017942886025,0.985519645,19,14,0.001,True
BaselineCNN,robust,noise,0.09,43,0.93835,0.9476156438272236,0.928,0.9377052493305714,0.98468611,19,14,0.001,True
BaselineCNN,robust,noise,0.1,43,0.93325,0.9418663946965834,0.9235,0.9325927796011108,0.98292233,19,14,0.001,True
BaselineCNN,robust,blur,0.4,43,0.9413,0.966786545377618,0.914,0.9396525136218772,0.98667149,19,14,0.001,True
BaselineCNN,robust,blur,0.6,43,0.82735,0.9750399071252358,0.6719,0.7955716061808064,0.958266325,19,14,0.001,True
BaselineCNN,robust,blur,0.7,43,0.78415,0.970992872534394,0.5858,0.7307428428865465,0.937326105,19,14,0.001,True
BaselineCNN,robust,blur,0.8,43,0.76255,0.965927240461402,0.5443,0.6962583946274384,0.91935669,19,14,0.001,True
BaselineCNN,robust,blur,1.0,43,0.7452,0.9480994152046784,0.5188,0.6706308169596691,0.89271816,19,14,0.001,True
BaselineCNN,robust,jpeg,80.0,43,0.94455,0.9553415958209568,0.9327,0.943885037696706,0.98732065,19,14,0.001,True
BaselineCNN,robust,jpeg,65.0,43,0.9501,0.9453789827825054,0.9554,0.9503630756987964,0.98985412,19,14,0.001,True
BaselineCNN,robust,jpeg,58.0,43,0.9496,0.935658914728682,0.9656,0.9503937007874016,0.99020725,19,14,0.001,True
BaselineCNN,robust,jpeg,50.0,43,0.94465,0.9427461913770786,0.9468,0.944768747193534,0.987589305,19,14,0.001,True
BaselineCNN,robust,jpeg,40.0,43,0.9252,0.9608714502492954,0.8865,0.922188702798294,0.981424755,19,14,0.001,True
BaselineCNN,baseline,none,0.0,44,0.9447,0.9497370550161812,0.9391,0.9443885760257442,0.988678435,9,4,0.001,False
BaselineCNN,baseline,noise,0.04,44,0.8948,0.976696450132818,0.8089,0.8849141231812712,0.980648435,9,4,0.001,False
BaselineCNN,baseline,noise,0.06,44,0.8429,0.9773106904231624,0.7021,0.8171554934823091,0.9638299699999998,9,4,0.001,False
BaselineCNN,baseline,noise,0.08,44,0.811,0.9587020648967552,0.65,0.7747318235995232,0.93391134,9,4,0.001,False
BaselineCNN,baseline,noise,0.09,44,0.80305,0.9410566147576772,0.6466,0.7665224349475431,0.916318285,9,4,0.001,False
BaselineCNN,baseline,noise,0.1,44,0.80305,0.9093610698365528,0.6732,0.7736597138424409,0.899227915,9,4,0.001,False
BaselineCNN,baseline,blur,0.4,44,0.92675,0.976655869540936,0.8744,0.922703529784203,0.98742958,9,4,0.001,False
BaselineCNN,baseline,blur,0.6,44,0.66715,0.9932133372676306,0.3366,0.5028008066323101,0.924554585,9,4,0.001,False
BaselineCNN,baseline,blur,0.7,44,0.6182,0.9868204283360792,0.2396,0.3855809462504023,0.876491755,9,4,0.001,False
BaselineCNN,baseline,blur,0.8,44,0.60645,0.9801533603969328,0.2173,0.3557338135385119,0.8461918449999999,9,4,0.001,False
BaselineCNN,baseline,blur,1.0,44,0.6119,0.9582309582309584,0.234,0.3761453142581578,0.81450413,9,4,0.001,False
BaselineCNN,baseline,jpeg,80.0,44,0.93615,0.9645329641069336,0.9056,0.9341379132497808,0.98719336,9,4,0.001,False
BaselineCNN,baseline,jpeg,65.0,44,0.9386,0.914790996784566,0.9673,0.940313016428502,0.98751069,9,4,0.001,False
BaselineCNN,baseline,jpeg,58.0,44,0.91615,0.8680463429733793,0.9815,0.921293471629042,0.985402115,9,4,0.001,False
BaselineCNN,baseline,jpeg,50.0,44,0.9118,0.8690625560136225,0.9697,0.9166272804612912,0.97904724,9,4,0.001,False
BaselineCNN,baseline,jpeg,40.0,44,0.8727,0.9756253190403268,0.7645,0.8572549899080512,0.97476401,9,4,0.001,False
BaselineCNN,robust,none,0.0,44,0.94825,0.9370186214292678,0.9611,0.948906550821938,0.98924128,17,12,0.001,True
BaselineCNN,robust,noise,0.04,44,0.9469,0.941426313709996,0.9531,0.947227191413238,0.98863746,17,12,0.001,True
BaselineCNN,robust,noise,0.06,44,0.9441,0.9396159176400712,0.9492,0.9443836434185652,0.98739875,17,12,0.001,True
BaselineCNN,robust,noise,0.08,44,0.9396,0.9352475247524752,0.9446,0.9399004975124378,0.985704865,17,12,0.001,True
BaselineCNN,robust,noise,0.09,44,0.9356,0.9289090192989364,0.9434,0.9360984322286168,0.984364535,17,12,0.001,True
BaselineCNN,robust,noise,0.1,44,0.93105,0.9253083374444993,0.9378,0.9315122920288056,0.98240954,17,12,0.001,True
BaselineCNN,robust,blur,0.4,44,0.94545,0.9572000410551164,0.9326,0.9447399078154284,0.98795902,17,12,0.001,True
BaselineCNN,robust,blur,0.6,44,0.84455,0.981551362683438,0.7023,0.818770037889828,0.9675585,17,12,0.001,True
BaselineCNN,robust,blur,0.7,44,0.79345,0.9792585333986608,0.5996,0.7437821745332754,0.95011767,17,12,0.001,True
BaselineCNN,robust,blur,0.8,44,0.76325,0.9754379627957378,0.5401,0.6952436120229131,0.93328157,17,12,0.001,True
BaselineCNN,robust,blur,1.0,44,0.7334,0.9609004739336492,0.4866,0.6460435475305364,0.902997865,17,12,0.001,True
BaselineCNN,robust,jpeg,80.0,44,0.94505,0.942439606322696,0.948,0.9452116257041728,0.98797952,17,12,0.001,True
BaselineCNN,robust,jpeg,65.0,44,0.949,0.9322294955718136,0.9684,0.949970570924073,0.989952995,17,12,0.001,True
BaselineCNN,robust,jpeg,58.0,44,0.9442,0.918898528857035,0.9744,0.9458357600465928,0.98983053,17,12,0.001,True
BaselineCNN,robust,jpeg,50.0,44,0.9423,0.9238213875047911,0.9641,0.9435310236836956,0.987297995,17,12,0.001,True
BaselineCNN,robust,jpeg,40.0,44,0.9325,0.9545932310279588,0.9082,0.9308188992518192,0.982970165,17,12,0.001,True
